ville,temp_actuelle,temp_ressentie,temp_min,temp_max,pression,humidite,vitesse_du_vent,direction_du_vent,lever_du_soleil,coucher_du_soleil
Paris,11.71,10.24,10.62,12.92,1025,50,7.72,60,05:24:51,18:22:48
Lille,11.48,9.78,10.12,13.3,1027,42,5.66,50,05:20:16,18:21:42
Marseilles,10.98,9.88,9.22,12.08,1010,67,2.92,81,11:34:51,00:21:07
Rouen,11.54,10.24,10.83,12.41,1025,57,5.14,70,05:29:17,18:28:22
Bordeaux,14.15,13.03,14.15,16.3,1020,54,4.12,50,05:40:04,18:31:01
Cambrai,9.61,6.65,9.61,9.61,1027,51,6.31,57,05:19:19,18:19:48
Nantes,9.22,6.76,8.96,10.39,1024,71,4.63,40,05:42:06,18:37:00
Metz,11.23,9.61,8.8,13.66,1025,46,7.2,70,05:09:20,18:07:44
Toulouse,13.01,11.99,12.99,13.76,1019,62,6.17,310,05:32:58,18:21:56
Montpellier,18.18,17.05,17.29,18.61,1012,38,6.69,20,05:23:14,18:12:11
Nice,9.73,8.36,8.9,9.89,1010,58,2.72,211,05:09:27,17:58:59
Brest,5.08,0.59,5.08,5.08,1021,37,7.06,18,03:56:17,17:00:36
Arras,10.91,9.28,9.81,12.03,1027,47,6.09,62,05:21:43,18:22:28
Lyon,7.62,6.62,7.03,8.17,1019,74,1.79,63,05:18:42,18:11:05
Strasbourg,7.93,4.22,6.84,8.49,1025,49,7.2,60,05:03:34,18:00:56
Angers,13.22,11.82,11.01,13.22,1023,47,5.32,51,05:37:43,18:33:07
Rennes,11.04,9.82,11.02,11.99,1024,62,2.57,90,05:41:32,18:38:14
Dijon,7.98,4.8,7.85,11.29,1022,76,5.66,30,05:15:37,18:10:42
Grenoble,1.98,-0.91,1.98,4.5,1017,92,2.75,341,05:14:15,18:05:32
Caen,10.12,8.81,10.12,10.12,1026,62,4.12,40,05:35:41,18:34:05
